page_id,table_id,table_bbox,table_html,table_text,table_block_ids
page_idx_3,ca97c6a7-42d4-3ebc-9095-dbc4b6c5df5d,"(2175.0, 696.0, 3117.0, 1410.0)","<table><tr><td rowspan=2>From base year 16:. reduction</td></tr><tr></tr><tr><td rowspan=3>100% Target: 14% 84,, Amount generated Amount generated __ =p» __ ~ = Activity amount”</td></tr><tr></tr><tr></tr><tr><td>FY2010 FY2022 (base year)</td></tr></table>","From base year 16:. reduction  
  
 100% Target: 14% 84,, Amount generated Amount generated __ =p» __ ~ = Activity amount”  
  
  
 FY2010 FY2022 (base year)  
","['e5cce930-8ff1-3724-b84f-35e5a39c17df', '3680f920-d4c2-3ea8-8fab-414ca5e7a857', 'b89b86ec-db5d-3120-9416-3f1a021da0c0']"
page_idx_4,5e0de445-cbf3-3e96-a038-86782a875f81,"(1102.0, 1229.0, 2065.0, 1522.0)","<table><tr><td colspan=2>Number of sites</td><td></td><td>1</td><td colspan=4>business sites</td></tr><tr><td>achieving waste</td><td>zero</td><td>landfill</td><td rowspan=2 colspan=5>(58% ""8% achievement) target: 90 business sites (approx. 25%)</td></tr><tr><td></td><td></td><td></td></tr></table>","Number of sites    1  business sites     
 achieving waste  zero  landfill  (58% ""8% achievement) target: 90 business sites (approx. 25%)      
         
","['4a2d40fb-02b9-39c3-bd33-6b8cd9ff9e6b', '32ad60af-8a1b-38d3-89ac-161fba9385ee', 'e14e7a8f-249a-3355-a227-6cd8dd69fdcf', '80bc00f0-e33b-39c2-92f4-a05c147f36cf', '87e53c56-25f8-3349-b7ee-f8daea07356c', '0c6ed9d5-8571-3dd9-8178-1ca72f779ae3', '17ccd132-d3ff-3e8f-a91d-1d791df5cd20']"
page_idx_5,0dcabc52-32aa-35e4-800a-c38e4f870730,"(3233.0, 955.0, 4197.0, 1532.0)","<table><tr><td colspan=5>Activity field Products or services (implementation to date)</td></tr><tr><td colspan=2>water Wastewater recycling</td><td colspan=2>systems</td><td></td></tr><tr><td colspan=2>resources Seawater desalination</td><td colspan=2>systems</td><td></td></tr><tr><td colspan=2>Water and sewage</td><td colspan=2>treatment, etc.</td><td></td></tr><tr><td>‘over 200 sites</td><td>in</td><td>40</td><td>countries</td><td>and regions)</td></tr><tr><td colspan=3>Water purification plants</td><td></td><td></td></tr><tr><td colspan=2>Developing water approximately 700</td><td colspan=2>plants in Japan)</td><td></td></tr><tr><td colspan=3>infrastructure Sewage treatment plants</td><td></td><td></td></tr><tr><td colspan=2>approximately 900</td><td colspan=2>plants in Japan)</td><td></td></tr><tr><td>Comprehensive</td><td></td><td colspan=3>solutions for water and</td></tr><tr><td colspan=3>sewage treatment operators</td><td></td><td></td></tr><tr><td>Integrated flood Flood forecasting</td><td colspan=4>and simulation technology related</td></tr><tr><td>control measures © evacuations</td><td>and</td><td colspan=2>emergencies</td><td></td></tr></table>","Activity field Products or services (implementation to date)      
 water Wastewater recycling   systems    
 resources Seawater desalination   systems    
 Water and sewage   treatment, etc.    
 ‘over 200 sites  in  40  countries  and regions)  
 Water purification plants      
 Developing water approximately 700   plants in Japan)    
 infrastructure Sewage treatment plants      
 approximately 900   plants in Japan)    
 Comprehensive    solutions for water and    
 sewage treatment operators      
 Integrated flood Flood forecasting  and simulation technology related     
 control measures © evacuations  and  emergencies    
","['9d08bc2c-6681-306c-acf1-6a55c3e9b410', '84a2214b-3e15-30fe-a94d-31e0d89934dd', '94f749df-9f5b-35bc-aacc-8cf4afbf4df0', '0efbf733-ab0f-3c6d-acf5-68c15cbbe375', '73121f59-c5f5-3b82-a370-18c4b25c651d', '72795738-4cbc-3201-af50-db59a143fe1e', '89e55c56-88e1-3ffc-8ffb-8aa12cfc388e', 'cfd50fd1-f747-39aa-8ee6-460e2a81f474', '4495cc91-1c48-3fa0-953b-8efcf9b1825e', '3c0e386f-4a06-37fc-8a0a-4552ebc261d3', '05732e47-d5d5-3bc2-b404-8166376426f8', '8e313d32-1a34-3518-86fe-604c1d9c971c', '292fca59-bde0-32b5-9454-f0833f230bfc', '555b3813-6709-3501-9c61-f97a4ae34e8d', '59626cb4-1588-3f2f-b7aa-1d5f8d896460', 'fa6e8dcd-e2f4-3721-aaef-18b1e3f3db67', '3ac8b302-15a3-3c4b-821b-eeedd7e150f3', 'd82f1279-12d2-30e8-97cb-57893f474329', '3b74ac78-078d-3812-9e35-c38219e11e9e', 'dbe98c49-5bb6-3e7a-af9a-98b5ea04cfc4', '400eeea0-42f1-3dea-8a59-659288f03bc3', '1f488e48-af39-3ae4-b4f8-bd7acd7d829d', '4e434c58-8648-39cd-949e-8cbf7a8d07ab', '76e3f997-2cb4-3403-878c-dfb59b2b1c19', 'cba87edb-d395-399c-9c7f-003a14d68dc7', 'f42eface-dc3e-3f12-9e6f-fe60e8005ae9', 'b33ada8c-10fc-32b0-8542-97f488d7e2b9']"
